([2], 549)
([9], 1372)
([10], 712)
([11], 711)
([12], 409)
([18], 860)
([19], 1005)
([23], 758)
([30], 540)
([31], 920)
([32], 15167)
([36], 2936)
([37], 1074)
([38], 15596)
([39], 50675)
([41], 14945)
([45], 911)
([47], 444)
([48], 42135)
([49], 1120)
([52], 501)
([53], 509)
([55], 704)
([56], 535)
([60], 1489)
([62], 543)
([65], 4472)
([76], 869)
([78], 1060)
([79], 1600)
([80], 464)
([89], 3837)
([94], 516)
([101], 2237)
([103], 812)
([105], 657)
([107], 765)
([110], 2794)
([117], 1026)
([123], 1302)
([136], 467)
([147], 1779)
([150], 597)
([155], 546)
([156], 830)
([161], 1010)
([170], 3099)
([175], 970)
([176], 404)
([178], 479)
([179], 998)
([185], 1376)
([186], 660)
([201], 1133)
([208], 529)
([209], 611)
([225], 3257)
([229], 820)
([237], 3032)
([242], 911)
([246], 405)
([248], 412)
([249], 1160)
([251], 621)
([255], 1474)
([258], 987)
([259], 684)
([260], 691)
([261], 523)
([264], 895)
([267], 584)
([269], 701)
([270], 1734)
([271], 2094)
([272], 650)
([279], 633)
([281], 453)
([286], 1183)
([297], 525)
([301], 1204)
([310], 2594)
([319], 435)
([334], 774)
([338], 1274)
([340], 643)
([345], 490)
([351], 420)
([352], 438)
([365], 442)
([371], 782)
([374], 584)
([379], 677)
([384], 437)
([389], 831)
([396], 674)
([398], 515)
([405], 879)
([407], 693)
([408], 479)
([413], 1880)
([415], 412)
([418], 481)
([420], 600)
([425], 606)
([426], 508)
([432], 466)
([438], 1863)
([441], 609)
([449], 690)
([464], 695)
([475], 2167)
([479], 926)
([488], 720)
([490], 445)
([514], 427)
([522], 974)
([533], 1487)
([535], 718)
([544], 851)
([547], 428)
([548], 1137)
([549], 843)
([570], 792)
([571], 513)
([581], 574)
([589], 1119)
([591], 432)
([592], 1227)
([604], 1209)
([623], 525)
([649], 857)
([664], 752)
([675], 601)
([677], 1110)
([681], 704)
([694], 412)
([703], 806)
([704], 526)
([740], 1181)
([766], 797)
([772], 752)
([783], 965)
([789], 648)
([790], 523)
([793], 494)
([798], 503)
([806], 741)
([808], 482)
([809], 626)
([812], 821)
([824], 1210)
([830], 428)
([831], 454)
([842], 412)
([846], 595)
([855], 519)
([856], 494)
([865], 632)
([878], 570)
([885], 576)
([910], 519)
([913], 543)
([916], 543)
([947], 591)
([956], 911)
([961], 540)
([976], 817)
([979], 439)
([1000], 423)
([1004], 1102)
([1020], 465)
([1043], 551)
([1052], 401)
([1062], 433)
([1066], 411)
([1067], 584)
([1103], 407)
([1113], 448)
([1121], 425)
([1126], 425)
([1135], 667)
([1144], 599)
([1146], 1426)
([1158], 428)
([1198], 660)
([1239], 569)
([1277], 420)
([1327], 1786)
([1344], 753)
([1355], 512)
([1361], 400)
([1393], 1161)
([1404], 446)
([1417], 536)
([1435], 765)
([1479], 472)
([1481], 409)
([1486], 423)
([1513], 422)
([1543], 419)
([1557], 415)
([1578], 874)
([1585], 450)
([1600], 801)
([1659], 459)
([1677], 468)
([1693], 524)
([1704], 450)
([1714], 507)
([1715], 590)
([1783], 600)
([1814], 688)
([1867], 467)
([1872], 572)
([1986], 614)
([1987], 482)
([2046], 625)
([2051], 461)
([2056], 419)
([2080], 481)
([2118], 525)
([2135], 461)
([2168], 499)
([2184], 462)
([2199], 597)
([2238], 1715)
([2241], 420)
([2284], 508)
([2329], 488)
([2343], 425)
([2383], 569)
([2399], 481)
([2437], 571)
([2505], 433)
([2523], 426)
([2673], 411)
([2775], 410)
([2879], 481)
([2958], 904)
([2987], 431)
([3270], 950)
([3361], 409)
([3616], 654)
([3799], 421)
([4336], 589)
([4698], 405)
([4883], 521)
([8978], 606)
([8985], 414)
([9501], 430)
([9555], 421)
([10444], 473)
([10446], 618)
([10491], 418)
([10515], 882)
([10653], 418)
([10656], 415)
([12925], 1467)
([12929], 742)
([12943], 417)
([12946], 535)
([12951], 403)
([12959], 476)
([13041], 1051)
([13189], 438)
([14098], 1291)
([14099], 409)
([14933], 479)
([15618], 614)
([15832], 1143)
([16010], 1316)
([16011], 669)
([16217], 1166)
([16430], 426)
([36, 38], 2790)
([36, 39], 2037)
([36, 41], 700)
([36, 48], 1416)
([16010, 16011], 651)
([9, 39], 832)
([9, 48], 790)
([37, 38], 1046)
([37, 39], 707)
([37, 48], 565)
([10, 39], 452)
([10, 48], 427)
([38, 105], 643)
([38, 55], 657)
([38, 39], 10345)
([38, 225], 681)
([38, 310], 433)
([38, 790], 508)
([38, 56], 514)
([38, 110], 2725)
([38, 41], 3897)
([38, 237], 683)
([38, 281], 432)
([38, 371], 767)
([38, 89], 764)
([38, 2238], 407)
([38, 47], 432)
([38, 170], 3031)
([38, 286], 1116)
([38, 65], 643)
([38, 48], 7944)
([11, 39], 472)
([11, 48], 463)
([39, 103], 512)
([39, 175], 631)
([39, 79], 1111)
([39, 301], 715)
([39, 806], 493)
([39, 16010], 829)
([39, 105], 455)
([39, 271], 1434)
([39, 407], 418)
([39, 664], 481)
([39, 1435], 459)
([39, 260], 428)
([39, 1814], 471)
([39, 3270], 576)
([39, 549], 492)
([39, 783], 640)
([39, 809], 404)
([39, 16011], 427)
([39, 55], 452)
([39, 107], 426)
([39, 272], 446)
([39, 464], 412)
([39, 789], 447)
([39, 12929], 470)
([39, 225], 2351)
([39, 389], 544)
([39, 1578], 576)
([39, 179], 653)
([39, 249], 752)
([39, 570], 558)
([39, 675], 414)
([39, 156], 582)
([39, 229], 503)
([39, 310], 1852)
([39, 522], 648)
([39, 812], 471)
([39, 279], 401)
([39, 1327], 1156)
([39, 161], 622)
([39, 533], 922)
([39, 1004], 583)
([39, 1135], 458)
([39, 16217], 728)
([39, 110], 1759)
([39, 475], 1500)
([39, 956], 600)
([39, 41], 11414)
([39, 264], 599)
([39, 592], 723)
([39, 1393], 789)
([39, 185], 828)
([39, 255], 1057)
([39, 677], 635)
([39, 8978], 433)
([39, 237], 1929)
([39, 396], 436)
([39, 535], 400)
([39, 117], 554)
([39, 186], 413)
([39, 371], 532)
([39, 1344], 485)
([39, 2958], 655)
([39, 89], 2749)
([39, 267], 407)
([39, 740], 759)
([39, 1146], 983)
([39, 258], 628)
([39, 479], 580)
([39, 681], 422)
([39, 45], 559)
([39, 242], 564)
([39, 10515], 528)
([39, 60], 983)
([39, 413], 1130)
([39, 2238], 1287)
([225, 2238], 405)
([39, 334], 506)
([39, 544], 524)
([39, 604], 775)
([39, 1986], 413)
([39, 123], 726)
([39, 170], 2059)
([39, 269], 441)
([39, 338], 742)
([39, 824], 703)
([39, 3616], 419)
([39, 286], 750)
([39, 101], 1400)
([39, 405], 500)
([39, 1600], 474)
([39, 13041], 688)
([39, 65], 2787)
([39, 201], 669)
([39, 976], 471)
([39, 48], 29142)
([39, 1198], 407)
([39, 15832], 718)
([39, 438], 1260)
([39, 548], 663)
([39, 766], 470)
([39, 76], 529)
([39, 147], 1137)
([39, 703], 453)
([39, 49], 768)
([39, 270], 1194)
([39, 772], 406)
([39, 14098], 801)
([39, 78], 774)
([39, 379], 429)
([39, 589], 708)
([39, 649], 531)
([39, 12925], 938)
([18, 39], 540)
([18, 48], 465)
([41, 79], 499)
([41, 16010], 467)
([41, 271], 584)
([41, 225], 877)
([41, 310], 719)
([41, 1327], 459)
([41, 16217], 433)
([41, 110], 677)
([41, 475], 570)
([41, 237], 597)
([41, 89], 732)
([41, 1146], 501)
([41, 413], 414)
([41, 2238], 570)
([41, 170], 805)
([41, 101], 476)
([41, 65], 995)
([41, 48], 9018)
([41, 15832], 421)
([41, 438], 428)
([41, 147], 438)
([41, 270], 508)
([19, 39], 592)
([19, 48], 591)
([23, 39], 512)
([23, 48], 416)
([45, 48], 492)
([31, 39], 538)
([31, 48], 493)
([48, 103], 431)
([48, 175], 493)
([48, 79], 893)
([48, 301], 658)
([48, 16010], 730)
([48, 271], 1090)
([48, 407], 422)
([48, 1435], 433)
([48, 1814], 451)
([48, 3270], 592)
([48, 549], 513)
([48, 783], 583)
([48, 107], 467)
([48, 464], 422)
([48, 789], 421)
([48, 12929], 430)
([48, 225], 1736)
([48, 389], 422)
([48, 1578], 469)
([48, 179], 624)
([48, 249], 675)
([48, 570], 514)
([48, 156], 473)
([48, 229], 545)
([48, 310], 1692)
([48, 522], 582)
([48, 812], 463)
([48, 1327], 968)
([48, 161], 517)
([48, 425], 408)
([48, 533], 861)
([48, 1004], 614)
([48, 1135], 541)
([48, 16217], 647)
([48, 110], 1380)
([48, 475], 1428)
([48, 956], 540)
([48, 264], 534)
([48, 592], 743)
([48, 1393], 669)
([48, 185], 816)
([48, 255], 1057)
([48, 677], 666)
([48, 237], 1682)
([48, 535], 409)
([48, 117], 601)
([48, 186], 417)
([48, 1344], 427)
([48, 2958], 779)
([48, 89], 2798)
([48, 740], 520)
([48, 1146], 811)
([48, 258], 643)
([48, 479], 513)
([48, 10515], 524)
([48, 60], 815)
([48, 413], 1135)
([48, 2238], 955)
([48, 334], 443)
([48, 544], 504)
([48, 604], 687)
([48, 123], 797)
([48, 488], 432)
([48, 170], 1557)
([48, 269], 439)
([48, 338], 779)
([48, 824], 701)
([48, 286], 591)
([48, 101], 1311)
([48, 405], 525)
([48, 1600], 444)
([48, 13041], 602)
([48, 65], 2529)
([48, 201], 674)
([48, 976], 456)
([48, 15832], 585)
([48, 340], 407)
([48, 438], 1025)
([48, 548], 658)
([48, 766], 489)
([48, 76], 485)
([48, 147], 1036)
([48, 703], 467)
([48, 49], 843)
([48, 270], 957)
([48, 772], 442)
([48, 14098], 698)
([48, 78], 824)
([48, 589], 628)
([48, 649], 490)
([48, 12925], 817)
([32, 36], 494)
([32, 271], 470)
([32, 38], 2833)
([32, 39], 8455)
([32, 225], 655)
([32, 310], 541)
([32, 110], 449)
([32, 475], 447)
([32, 41], 3196)
([32, 237], 568)
([32, 89], 713)
([32, 170], 540)
([32, 101], 412)
([32, 65], 774)
([32, 48], 8034)
([32, 270], 437)
([270, 271], 680)
([36, 38, 39], 1945)
([36, 38, 41], 671)
([36, 38, 48], 1360)
([36, 39, 41], 572)
([36, 39, 48], 1116)
([9, 39, 48], 546)
([37, 38, 39], 684)
([37, 38, 48], 557)
([37, 39, 48], 440)
([38, 39, 105], 449)
([38, 39, 55], 422)
([38, 39, 225], 535)
([38, 39, 110], 1740)
([38, 39, 41], 3051)
([38, 39, 237], 512)
([38, 39, 371], 526)
([38, 39, 89], 589)
([38, 39, 170], 2019)
([38, 39, 286], 728)
([38, 39, 65], 488)
([38, 39, 48], 6102)
([38, 41, 110], 666)
([38, 41, 170], 794)
([38, 41, 48], 2374)
([38, 48, 110], 1361)
([38, 48, 237], 414)
([38, 48, 89], 578)
([38, 48, 170], 1538)
([38, 48, 286], 581)
([38, 48, 65], 408)
([39, 16010, 16011], 419)
([39, 41, 271], 451)
([39, 41, 225], 726)
([39, 41, 310], 625)
([39, 41, 110], 515)
([39, 41, 475], 476)
([39, 41, 237], 477)
([39, 41, 89], 619)
([39, 41, 2238], 472)
([39, 41, 170], 624)
([39, 41, 65], 792)
([39, 41, 48], 7366)
([39, 48, 79], 699)
([39, 48, 301], 473)
([39, 48, 16010], 529)
([39, 48, 271], 827)
([39, 48, 3270], 416)
([39, 48, 783], 439)
([39, 48, 225], 1400)
([39, 48, 179], 452)
([39, 48, 249], 510)
([39, 48, 570], 404)
([39, 48, 310], 1347)
([39, 48, 522], 425)
([39, 48, 1327], 720)
([39, 48, 533], 632)
([39, 48, 16217], 463)
([39, 48, 110], 1037)
([39, 48, 475], 1092)
([39, 48, 956], 405)
([39, 48, 264], 403)
([39, 48, 592], 515)
([39, 48, 1393], 507)
([39, 48, 185], 555)
([39, 48, 255], 813)
([39, 48, 677], 446)
([39, 48, 237], 1244)
([39, 48, 2958], 570)
([39, 48, 89], 2125)
([39, 48, 1146], 623)
([39, 48, 258], 452)
([39, 48, 60], 609)
([39, 48, 413], 781)
([39, 48, 2238], 788)
([39, 48, 604], 520)
([39, 48, 123], 509)
([39, 48, 170], 1206)
([39, 48, 338], 516)
([39, 48, 824], 471)
([39, 48, 286], 464)
([39, 48, 101], 946)
([39, 48, 13041], 444)
([39, 48, 65], 1797)
([39, 48, 201], 451)
([39, 48, 15832], 436)
([39, 48, 438], 780)
([39, 48, 548], 467)
([39, 48, 147], 742)
([39, 48, 49], 617)
([39, 48, 270], 733)
([39, 48, 14098], 540)
([39, 48, 78], 610)
([39, 48, 589], 443)
([39, 48, 12925], 588)
([39, 270, 271], 484)
([41, 48, 225], 537)
([41, 48, 310], 547)
([41, 48, 110], 423)
